house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6072-037,-25.17500142,32.48297157,5/25/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6001-032,-24.81115333,32.8609301,12/4/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6078-008,-24.48952585,32.11529099,5/17/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-053,-24.90390215,32.3626313,2/23/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6045-455,-25.02843461,32.63085653,9/18/15,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-040,-24.89604078,32.35268546,9/30/15,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3612-343,-25.05205291,32.7630411,3/10/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6078-026,-24.48829636,32.09720205,12/20/16,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3612-010,-25.05016764,32.75725911,4/18/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,7,0,0,0,0,0,0
6011-030,-24.56601803,32.66613618,11/5/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-018,-25.15783707,32.4877398,12/16/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-069,-24.89709548,32.35297275,9/21/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6079-008,-24.49673709,32.0804721,5/30/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6079-068,-24.49119895,32.08258234,8/22/17,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
3613-272,-25.05872539,32.76905273,9/6/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-065,-24.56821539,32.66152863,10/7/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-027,-25.15383563,32.48413334,6/23/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-114,-24.80189398,32.8533691,2/8/17,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-030,-24.56607946,32.66622457,8/30/17,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6078-026,-24.48831732,32.09696745,11/29/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-036,-25.17318712,32.48092273,3/29/16,2,1,1,1,0,0,1,0,0,NA,2,4,0,0,0,0,0,0,0
6001-102,-24.80116244,32.86099753,10/16/15,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6079-079,-24.49306469,32.08401716,8/26/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-103,-24.80296654,32.85429722,11/7/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-033,-24.89312194,32.35003746,3/15/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6001-086,-24.80506814,32.86077036,10/12/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6072-122,-25.14711388,32.49576911,4/27/17,1,1,1,2,0,0,1,0,0,NA,2,14,0,0,0,0,0,0,3
6072-120,-25.15666753,32.48473859,12/12/15,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
