house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6002-021,-24.81189225,32.85665297,7/8/16,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6044-460,-25.03293738,32.64079466,3/18/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-022,-24.88984585,32.3428976,4/25/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3605-214,-25.05228944,32.78609291,1/24/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3612-265,-25.0547419,32.76551234,2/9/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-058,-24.56157348,32.65980254,10/14/15,2,1,1,2,0,0,2,0,0,NA,2,1,0,0,0,0,0,0,0
6002-063,-24.80628414,32.85432859,9/2/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-122,-25.14693651,32.49595196,6/21/16,1,1,1,2,0,0,2,0,0,NA,2,17,0,0,0,0,0,0,0
6018-037,-24.89449122,32.35361607,11/15/16,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6045-424,-25.03326,32.62209269,9/15/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-012,-24.48953182,32.11371713,5/17/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6011-007,-24.56922211,32.65956632,6/6/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-012,-24.88529265,32.34344762,7/20/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
3612-030,-25.0514811,32.75400748,7/13/17,1,1,1,1,0,0,1,0,0,NA,2,2,0,0,0,0,0,0,0
6072-018,-25.15747052,32.48787454,1/22/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-018,-24.56093493,32.66001559,5/29/15,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
3609-091,-25.05245061,32.78205333,1/24/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-018,-24.56081035,32.66005167,11/2/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
